Model,Accuracy,F1 Score,Inference Time,Model Size (MB),TOPSIS Score,Rank
distilbert-base-uncased-finetuned-sst-2-english,0.925,0.9295774647887324,19.29100275039673,66.95501,0.7500952463967687,1.0
albert-base-v2,0.52,0.6842105263157895,29.09400963783264,11.685122,0.6578330875046565,2.0
roberta-base,0.52,0.6842105263157895,32.967458724975586,124.64717,0.3925644839905135,3.0
bert-base-uncased,0.565,0.49710982658959535,38.26823663711548,109.483778,0.3055079940300602,4.0
xlnet-base-cased,0.49,0.15,48.13275671005249,117.310466,0.03755665091298455,5.0
